Number,"0-10
 %3
 HW1
 ","0-10
 %3
 Q1
 ","0-10
 %3
 Q2
 ","0-10
 %3
 Q3
 ","0-10
 %3
 Q4
 ","0-10
 %3
 Q5
 ","0-100
 %15
 Midterm
 ","0-100
 %40
 Proj
 ","0-100
 %25
 Final Exam
 ",Total Grade,Dataset,Manual Category ,KNN results,Match result successful,Match result failing,Distance to student 3,Distance to student 4,Distance to student 5,Distance to student 13,Distance to student 14,Distance to student 15,Distance to student 16,Distance to student 21,Distance to student 22,Distance to student 23,Distance to student 30,Distance to student 31,Distance to student 32,Distance to student 36,Distance to student 37,Distance to student 38,Distance to student 39,Distance to student 40,Distance to student 41,Distance to student 42
56,10,25,75,100,75,14.76,47,50,58,56.31,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
57,10,35,80,80,60,13.9,54,80,52,67,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
58,10,40,40,0,25,7.53,37,50,19,37.83,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
59,10,35,90,100,60,15.15,56,50,65,59.8,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
60,7,30,75,50,50,10.93,40,30,28,35.93,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
61,10,45,70,90,50,13.8,39,60,39,53.4,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
62,10,50,50,80,55,12.93,45,70,27,54.43,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
63,10,35,70,35,50,11.2,44,70,38,55.3,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
64,10,30,70,90,0,10.95,49,50,39,48.05,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
65,10,50,90,0,50,11.3,43,40,43,44.5,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
66,10,30,100,80,85,15.73,68,80,68,74.93,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
67,10,50,90,100,85,16.88,57,30,74,55.93,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
68,10,30,70,95,50,13.4,39,50,46,50.75,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
